,Volatility
NVR,595.9210255812025
BKNG,339.11107981847033
CMG,213.01129997751556
AZO,191.6015813206583
MTD,157.32103287294612
BLK,94.70895943766833
LRCX,93.23081046007167
EQIX,91.44939703295172
TDG,87.8086747606601
NOW,85.42567339707766
ALGN,84.95646033963742
BIO,83.26054635968552
EPAM,79.67336589416969
REGN,78.88120605221596
NFLX,76.73939153734231
MPWR,75.03204794938542
FICO,73.742682251766
CHTR,72.54334939857512
ADBE,70.08902152350473
PAYC,68.91516551038181
IDXX,68.5701470990934
MSCI,68.15076368164989
INTU,63.884608518777426
ILMN,61.65582096718225
ORLY,61.57150498589432
AVGO,60.60930322856253
MKTX,60.40083413999129
LULU,60.348462891622404
ZBRA,59.9575515805165
MRNA,59.26655079835334
TYL,58.33017396256341
TSLA,57.19124904535835
TMO,56.77553128519876
GNRC,56.65511897696052
KLAC,54.092786153117835
HUM,53.80985982383958
POOL,53.69160815240614
DECK,51.99321567863891
DPZ,51.603945559020644
ULTA,51.05430952239862
GWW,50.532428544109564
TDY,49.64012084436929
ENPH,48.23883049127247
ELV,47.477658551165995
TFX,46.873689796222905
URI,46.77916717597362
COST,46.40665517217136
ANSS,45.629554325285376
WST,45.330285174877325
PODD,45.17456722731884
ROP,44.988812897783774
MA,44.4941722770187
BIIB,44.48558987741947
CTAS,43.359989846106856
MLM,43.15008495805259
CRL,42.7990111075153
DE,42.6588805365684
UNH,42.63231609185541
SPGI,42.481858715485394
BA,42.47325338545669
GS,42.40044054035464
LMT,42.3241152662485
SNPS,42.25255438245153
FDS,42.10721632566508
META,40.92646537115252
ADSK,40.81573013832428
NOC,39.836074422875896
ISRG,39.58817185953828
ETSY,39.16809110556629
ALB,38.89601622545579
SBAC,38.59589184731464
WAT,37.43832355260218
MCO,36.88877710393753
PH,35.64404181454662
MOH,35.15667880788436
CPAY,34.99659120257586
EL,34.91014043231571
ESS,34.86864673936335
HD,34.745358118070364
CRM,34.48686646157036
FDX,33.63867001093098
ACN,33.26047245950073
PYPL,33.2077214211428
ABNB,33.13736054494158
ROK,32.79286501032363
AMP,32.74514270600053
IT,32.46069839615508
EG,32.26793790509507
APD,32.03517617183528
PSA,31.4850215736025
AMT,31.362341607040907
LIN,30.429281644503202
VRTX,29.592970161859018
MSFT,29.467436899801513
EFX,29.387356971703667
AON,29.347665163786534
SHW,29.21376694378359
LLY,28.87957063072028
NSC,28.78680256974752
CI,28.773843665302444
SYK,28.36841268199277
RMD,28.35987910814452
HCA,28.25604923900082
AXON,28.096276477914657
IQV,27.912136625705717
NXPI,27.07010232917088
DHR,26.37242532057238
EXPE,26.16911218166731
HII,25.911776301764803
CAT,25.84242631989384
TGT,25.477963126533723
MHK,25.404391915600048
BDX,25.159505604880287
MCK,24.970357971277245
WTW,24.77010725606083
LH,24.6452135997429
LHX,24.51929502733028
AMGN,24.518342106877853
STE,24.419852322210616
GPN,24.349112282774357
STZ,24.28685117356673
FFIV,24.115539592118466
V,23.960389106758452
CMI,23.93216702473842
VRSN,23.879716714071225
ECL,23.69587134142213
NDSN,23.544660427407674
LOW,23.537673177550623
UNP,23.20974228695674
MSI,23.189074377889206
MAR,23.112521426581672
MTB,22.981122845506377
TTWO,22.94319315665326
AVB,22.76549038392908
SNA,22.706229810223608
TSCO,22.590730640389197
PANW,22.25256053645983
UPS,22.24388382288121
ADP,22.215203505780696
DG,22.17586527678161
AMZN,22.00317395854662
MTCH,21.93486639236477
SWK,21.677711050967314
PNC,21.54273532645127
VMC,21.541056245613273
AXP,21.44691970716838
WYNN,21.37522314648251
APTV,21.312115101336364
AVY,21.291809448919647
VRSK,21.286011236775483
HON,21.212414517763317
SWKS,21.162884895111638
CME,21.050822198286447
CDNS,21.02761807339959
ITW,21.01000006659236
FANG,20.955601165462145
DXCM,20.952841509842973
HUBB,20.92370783313976
QRVO,20.78460175076742
QCOM,20.684760552269672
CCI,20.682906226222716
TROW,20.560412560451766
IEX,20.31712770406715
ARE,20.136170557669324
MCD,20.078520712045837
CDW,20.034401100841226
EXR,19.97108041411078
TER,19.926210607242133
SPG,19.915314303865102
RVTY,19.76807462798388
CB,19.62877716780859
RCL,19.62008621442351
JBHT,19.602524857899887
DIS,19.531116204093177
COF,19.455687408385472
AMD,19.37029473525262
TT,19.293994661405037
FSLR,19.22346847278998
JKHY,19.162873736807338
UHS,19.157745706692666
GD,19.128458794456307
ZTS,19.041853029269593
AMAT,18.979258067602103
NUE,18.947932230131578
CLX,18.83159857285249
ADI,18.824493920907628
CE,18.729778705670775
KMX,18.366115854729372
RL,18.349674333069583
DRI,18.286993059762402
DLR,18.221009957766196
HLT,18.156042947251525
PPG,18.10982839325491
AWK,17.997527588560782
KEYS,17.96043014676642
AAPL,17.95458976963091
MAA,17.89020885181115
DLTR,17.807066080386967
TXN,17.78534309009071
ZBH,17.54911325094314
CVX,17.503094055565054
CZR,17.395284975743657
NKE,17.26111262744119
VLO,17.197598949349402
ODFL,17.173422573858264
PTC,17.16503025317012
EOG,17.063178830529253
CTLT,17.060477696394116
JPM,17.037698626879546
AIZ,16.568573397357422
HES,16.550438469721435
FIS,16.403559352612174
ROST,16.18534033864382
DFS,16.17364317080124
BBY,16.11536726539826
IFF,16.102804549689516
BX,16.092097600342637
BR,15.892016320429434
DOV,15.83528170829262
ANET,15.760328116647123
TRV,15.6985613083436
PLD,15.603586920336038
PSX,15.537572384604319
ETN,15.521488835807554
DGX,15.4976410346896
TEL,15.487424547887029
DAY,15.439055772708661
LYV,15.359368429916348
FRT,15.08022147483645
BXP,14.961608650707618
PKG,14.859451238625232
IBM,14.67103282015986
A,14.647530451801703
HSY,14.594729153084277
AJG,14.552547296060581
EA,14.489425701737533
CINF,14.27950470555309
ALLE,14.148517300084567
FMC,14.127772643271271
LYB,14.118271113301025
LEN,14.035039216732352
NTRS,14.01591167811149
EMN,13.99021225374418
CPT,13.895901033291663
MMM,13.852056111757676
ALL,13.837549555897601
DVA,13.725915916771221
GRMN,13.603597681041942
EW,13.572702198857359
TMUS,13.505415525217032
J,13.495576388020645
COP,13.463762264001486
MMC,13.435215135879641
TECH,13.38994267477743
PWR,13.29901954329862
CEG,13.17636899606309
GOOG,13.109951410947541
PRU,13.075187242708862
GPC,13.055082829408965
GOOGL,13.027729094955111
DHI,12.65876597098356
AME,12.610546881749377
XYL,12.558829589653726
FI,12.505774059699819
